run_id,seed,t_train_fit,t_grok,metric_name,threshold_type,threshold_value,t_metric,lead_time_steps,lead_time_fraction_of_grok_time,metric_value_at_t_metric,metric_value_at_t_grok
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,align_K4,absolute,0.6,,,,,0.1339638624187358
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,align_K8,relative_0.5,0.5,450.0,19550.0,0.9775,0.0976143159150631,0.1069406246875888
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,align_K8,relative_0.8,0.8,450.0,19550.0,0.9775,0.0976143159150631,0.1069406246875888
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,align_K8,absolute,0.2,,,,,0.1069406246875888
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,align_K8,absolute,0.4,,,,,0.1069406246875888
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,align_K8,absolute,0.6,,,,,0.1069406246875888
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,random_align_K1,relative_0.5,0.5,50.0,19950.0,0.9975,-0.0103284287200451,0.0031382919250247
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,random_align_K1,relative_0.8,0.8,50.0,19950.0,0.9975,-0.0103284287200451,0.0031382919250247
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,random_align_K2,relative_0.5,0.5,3000.0,17000.0,0.85,-0.0336686321633262,-0.0366901016212466
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,random_align_K2,relative_0.8,0.8,3000.0,17000.0,0.85,-0.0336686321633262,-0.0366901016212466
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,random_align_K4,relative_0.5,0.5,100.0,19900.0,0.995,0.009035060844458,0.000921367325745
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,random_align_K4,relative_0.8,0.8,100.0,19900.0,0.995,0.009035060844458,0.000921367325745
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,random_align_K8,relative_0.5,0.5,50.0,19950.0,0.9975,-0.0367176599774674,-0.0340164489699813
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,random_align_K8,relative_0.8,0.8,50.0,19950.0,0.9975,-0.0367176599774674,-0.0340164489699813
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,vcr_full,relative_0.5,0.5,450.0,19550.0,0.9775,10.521237158006633,2.741203855261597
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,vcr_full,relative_0.8,0.8,3000.0,17000.0,0.85,5.133970255107209,2.741203855261597
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,vcr_agop_r4,relative_0.5,0.5,450.0,19550.0,0.9775,8.712777333720092,1.6970429417357034
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,vcr_agop_r4,relative_0.8,0.8,950.0,19050.0,0.9525,4.811465745003031,1.6970429417357034
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,vcr_pca_r4,relative_0.5,0.5,50.0,19950.0,0.9975,10.421164834264008,4.6948337785809855
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,vcr_pca_r4,relative_0.8,0.8,950.0,19050.0,0.9525,8.987738573580938,4.6948337785809855
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,vcr_random_r4,relative_0.5,0.5,450.0,19550.0,0.9775,11.341308672845434,3.4073758696907337
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,vcr_random_r4,relative_0.8,0.8,1200.0,18800.0,0.94,7.374665253313663,3.4073758696907337
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,vcr_agop_r8,relative_0.5,0.5,450.0,19550.0,0.9775,8.734759715060894,1.7438069144040274
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,vcr_agop_r8,relative_0.8,0.8,950.0,19050.0,0.9525,4.740167856675569,1.7438069144040274
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,vcr_pca_r8,relative_0.5,0.5,50.0,19950.0,0.9975,12.806643453025524,5.254797204357075
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,vcr_pca_r8,relative_0.8,0.8,950.0,19050.0,0.9525,8.579964643442974,5.254797204357075
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,vcr_random_r8,relative_0.5,0.5,950.0,19050.0,0.9525,10.661795969186064,3.005072129893433
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,vcr_random_r8,relative_0.8,0.8,3000.0,17000.0,0.85,5.596168544508345,3.005072129893433
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,log_weight_norm,relative_0.5,0.5,50.0,19950.0,0.9975,3.749209553049216,3.717495681813588
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,log_weight_norm,relative_0.8,0.8,50.0,19950.0,0.9975,3.749209553049216,3.717495681813588
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,ntk_drift_correct_logit,relative_0.5,0.5,3000.0,17000.0,0.85,60.05728714278367,109.05289167643134
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,ntk_drift_correct_logit,relative_0.8,0.8,9000.0,11000.0,0.55,87.56423343331453,109.05289167643134
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,ntk_drift_correct_logit,absolute,0.25,50.0,19950.0,0.9975,10.141739469341433,109.05289167643134
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,ntk_drift_correct_logit,absolute,0.5,50.0,19950.0,0.9975,10.141739469341433,109.05289167643134
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,ntk_drift_correct_logit,absolute,1.0,50.0,19950.0,0.9975,10.141739469341433,109.05289167643134
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,train_loss,relative_0.5,0.5,50.0,19950.0,0.9975,0.8308569192886353,4.74401986139128e-06
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,train_loss,relative_0.8,0.8,100.0,19900.0,0.995,0.0374690890312194,4.74401986139128e-06
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,train_loss,absolute,0.05,100.0,19900.0,0.995,0.0374690890312194,4.74401986139128e-06
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,50,20000,train_loss,absolute,0.01,450.0,19550.0,0.9775,0.0098073473200201,4.74401986139128e-06
