run_id,seed,t_train_fit,t_grok,metric_name,threshold_type,threshold_value,t_metric,lead_time_steps,lead_time_fraction_of_grok_time,metric_value_at_t_metric,metric_value_at_t_grok
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,40,21000,log_weight_norm,relative_0.8,0.8,50.0,20950.0,0.9976190476190476,3.749209553045088,3.714883954356307
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,40,21000,ntk_drift_correct_logit,relative_0.5,0.5,2200.0,18800.0,0.8952380952380953,55.07238773698434,107.456999853567
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,40,21000,ntk_drift_correct_logit,relative_0.8,0.8,8800.0,12200.0,0.580952380952381,86.4836301764798,107.456999853567
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,40,21000,ntk_drift_correct_logit,absolute,0.25,20.0,20980.0,0.9990476190476191,0.741352037385656,107.456999853567
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,40,21000,ntk_drift_correct_logit,absolute,0.5,20.0,20980.0,0.9990476190476191,0.741352037385656,107.456999853567
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,40,21000,ntk_drift_correct_logit,absolute,1.0,30.0,20970.0,0.9985714285714286,2.129860154838741,107.456999853567
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,40,21000,train_loss,relative_0.5,0.5,40.0,20960.0,0.9980952380952381,1.680407166481018,3.734223582796403e-06
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,40,21000,train_loss,relative_0.8,0.8,60.0,20940.0,0.9971428571428571,0.2710147798061371,3.734223582796403e-06
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,40,21000,train_loss,absolute,0.05,80.0,20920.0,0.9961904761904762,0.0491546392440795,3.734223582796403e-06
run_seed0_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,0,40,21000,train_loss,absolute,0.01,450.0,20550.0,0.9785714285714285,0.0098073473200201,3.734223582796403e-06
run_seed1_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,1,40,30000,align_K1,relative_0.5,0.5,900.0,29100.0,0.97,-0.0209890756010657,-0.0230771807873203
run_seed1_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,1,40,30000,align_K1,relative_0.8,0.8,950.0,29050.0,0.9683333333333334,-0.021874964564903,-0.0230771807873203
run_seed1_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,1,40,30000,align_K1,absolute,0.2,,,,,-0.0230771807873203
run_seed1_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,1,40,30000,align_K1,absolute,0.4,,,,,-0.0230771807873203
run_seed1_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,1,40,30000,align_K1,absolute,0.6,,,,,-0.0230771807873203
run_seed1_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,1,40,30000,align_K2,relative_0.5,0.5,40.0,29960.0,0.9986666666666667,0.0296983216888363,0.0626064112839462
run_seed1_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,1,40,30000,align_K2,relative_0.8,0.8,130.0,29870.0,0.9956666666666667,0.0481646281246707,0.0626064112839462
run_seed1_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,1,40,30000,align_K2,absolute,0.2,15000.0,15000.0,0.5,0.2067774487911367,0.0626064112839462
run_seed1_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,1,40,30000,align_K2,absolute,0.4,,,,,0.0626064112839462
run_seed1_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,1,40,30000,align_K2,absolute,0.6,,,,,0.0626064112839462
run_seed1_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,1,40,30000,align_K4,relative_0.5,0.5,40.0,29960.0,0.9986666666666667,0.0370685080392271,0.0814322981424194
run_seed1_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,1,40,30000,align_K4,relative_0.8,0.8,450.0,29550.0,0.985,0.0689891737530464,0.0814322981424194
run_seed1_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,1,40,30000,align_K4,absolute,0.2,,,,,0.0814322981424194
run_seed1_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,1,40,30000,align_K4,absolute,0.4,,,,,0.0814322981424194
run_seed1_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,1,40,30000,align_K4,absolute,0.6,,,,,0.0814322981424194
run_seed1_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,1,40,30000,align_K8,relative_0.5,0.5,20.0,29980.0,0.9993333333333333,0.0257099290480838,0.0828822000515322
run_seed1_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,1,40,30000,align_K8,relative_0.8,0.8,50.0,29950.0,0.9983333333333333,0.0625403898241004,0.0828822000515322
run_seed1_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,1,40,30000,align_K8,absolute,0.2,4000.0,26000.0,0.8666666666666667,0.2051026078635481,0.0828822000515322
run_seed1_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,1,40,30000,align_K8,absolute,0.4,,,,,0.0828822000515322
run_seed1_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,1,40,30000,align_K8,absolute,0.6,,,,,0.0828822000515322
run_seed1_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,1,40,30000,random_align_K1,relative_0.5,0.5,10.0,29990.0,0.9996666666666667,-0.0140002343595303,-0.0166340086780869
run_seed1_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,1,40,30000,random_align_K1,relative_0.8,0.8,10.0,29990.0,0.9996666666666667,-0.0140002343595303,-0.0166340086780869
run_seed1_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,1,40,30000,random_align_K2,relative_0.5,0.5,20.0,29980.0,0.9993333333333333,-0.0014218870127807,0.0026995632534795
run_seed1_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,1,40,30000,random_align_K2,relative_0.8,0.8,30.0,29970.0,0.999,0.0034271813375448,0.0026995632534795
run_seed1_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,1,40,30000,random_align_K4,relative_0.5,0.5,30.0,29970.0,0.999,-0.022384682761264,-0.0152187730804145
run_seed1_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,1,40,30000,random_align_K4,relative_0.8,0.8,30.0,29970.0,0.999,-0.022384682761264,-0.0152187730804145
run_seed1_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,1,40,30000,random_align_K8,relative_0.5,0.5,20.0,29980.0,0.9993333333333333,-0.0071270916644948,-0.0117239825923371
run_seed1_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,1,40,30000,random_align_K8,relative_0.8,0.8,400.0,29600.0,0.9866666666666667,-0.0099533349507003,-0.0117239825923371
run_seed1_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,1,40,30000,log_weight_norm,relative_0.5,0.5,40.0,29960.0,0.9986666666666667,3.595511149807576,3.732400442415132
run_seed1_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,1,40,30000,log_weight_norm,relative_0.8,0.8,50.0,29950.0,0.9983333333333333,3.7459405349970343,3.732400442415132
run_seed1_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,1,40,30000,ntk_drift_correct_logit,relative_0.5,0.5,1500.0,28500.0,0.95,51.58728425740606,101.88050451248014
run_seed1_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,1,40,30000,ntk_drift_correct_logit,relative_0.8,0.8,6600.0,23400.0,0.78,81.98032068748783,101.88050451248014
run_seed1_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,1,40,30000,ntk_drift_correct_logit,absolute,0.25,20.0,29980.0,0.9993333333333333,0.7286791028065388,101.88050451248014
run_seed1_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,1,40,30000,ntk_drift_correct_logit,absolute,0.5,20.0,29980.0,0.9993333333333333,0.7286791028065388,101.88050451248014
run_seed1_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,1,40,30000,ntk_drift_correct_logit,absolute,1.0,30.0,29970.0,0.999,2.089474144043208,101.88050451248014
run_seed1_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,1,40,30000,train_loss,relative_0.5,0.5,40.0,29960.0,0.9986666666666667,1.7064093351364136,1.639871470615617e-06
run_seed1_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,1,40,30000,train_loss,relative_0.8,0.8,60.0,29940.0,0.998,0.2827908396720886,1.639871470615617e-06
run_seed1_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,1,40,30000,train_loss,absolute,0.05,80.0,29920.0,0.9973333333333333,0.0496977046132087,1.639871470615617e-06
run_seed1_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,1,40,30000,train_loss,absolute,0.01,450.0,29550.0,0.985,0.0099177956581115,1.639871470615617e-06
run_seed2_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,2,40,26000,align_K1,relative_0.5,0.5,600.0,25400.0,0.9769230769230769,-0.0545890080728582,-0.0666336042216764
run_seed2_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,2,40,26000,align_K1,relative_0.8,0.8,2400.0,23600.0,0.9076923076923077,-0.0603467582261868,-0.0666336042216764
run_seed2_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,2,40,26000,align_K1,absolute,0.2,16000.0,10000.0,0.38461538461538464,0.4357299225064598,-0.0666336042216764
run_seed2_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,2,40,26000,align_K1,absolute,0.4,16000.0,10000.0,0.38461538461538464,0.4357299225064598,-0.0666336042216764
run_seed2_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,2,40,26000,align_K1,absolute,0.6,,,,,-0.0666336042216764
run_seed2_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,2,40,26000,align_K2,relative_0.5,0.5,10.0,25990.0,0.9996153846153846,-0.0127541286468871,0.0043016505092935
run_seed2_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,2,40,26000,align_K2,relative_0.8,0.8,10.0,25990.0,0.9996153846153846,-0.0127541286468871,0.0043016505092935
run_seed2_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,2,40,26000,align_K2,absolute,0.2,,,,,0.0043016505092935
run_seed2_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,2,40,26000,align_K2,absolute,0.4,,,,,0.0043016505092935
run_seed2_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,2,40,26000,align_K2,absolute,0.6,,,,,0.0043016505092935
run_seed2_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,2,40,26000,align_K4,relative_0.5,0.5,10.0,25990.0,0.9996153846153846,0.0352713532541346,0.0625149836622946
run_seed2_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,2,40,26000,align_K4,relative_0.8,0.8,300.0,25700.0,0.9884615384615385,0.0640911650827535,0.0625149836622946
run_seed2_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,2,40,26000,align_K4,absolute,0.2,17000.0,9000.0,0.34615384615384615,0.2252000516938002,0.0625149836622946
run_seed2_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,2,40,26000,align_K4,absolute,0.4,,,,,0.0625149836622946
run_seed2_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,2,40,26000,align_K4,absolute,0.6,,,,,0.0625149836622946
run_seed2_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,2,40,26000,align_K8,relative_0.5,0.5,10.0,25990.0,0.9996153846153846,0.0662619066515694,0.0584889889713123
run_seed2_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,2,40,26000,align_K8,relative_0.8,0.8,10.0,25990.0,0.9996153846153846,0.0662619066515694,0.0584889889713123
run_seed2_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,2,40,26000,align_K8,absolute,0.2,,,,,0.0584889889713123
run_seed2_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,2,40,26000,align_K8,absolute,0.4,,,,,0.0584889889713123
run_seed2_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,2,40,26000,align_K8,absolute,0.6,,,,,0.0584889889713123
run_seed2_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,2,40,26000,random_align_K1,relative_0.5,0.5,2400.0,23600.0,0.9076923076923077,-0.0192258970852251,-0.0227732796481225
run_seed2_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,2,40,26000,random_align_K1,relative_0.8,0.8,3800.0,22200.0,0.8538461538461538,-0.0298082734373483,-0.0227732796481225
run_seed2_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,2,40,26000,random_align_K2,relative_0.5,0.5,10.0,25990.0,0.9996153846153846,0.0294768759469936,0.0147324778779005
run_seed2_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,2,40,26000,random_align_K2,relative_0.8,0.8,10.0,25990.0,0.9996153846153846,0.0294768759469936,0.0147324778779005
run_seed2_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,2,40,26000,random_align_K4,relative_0.5,0.5,20.0,25980.0,0.9992307692307693,0.0037969960039939,-0.0007496027462214
run_seed2_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,2,40,26000,random_align_K4,relative_0.8,0.8,600.0,25400.0,0.9769230769230769,-0.0015246954395505,-0.0007496027462214
run_seed2_p31_tf0p5_quadratic_w512_lr0p003_wd1p0_init1p0,2,40,26000,random_align_K8,relative_0.5,0.5,10.0,25990.0,0.9996153846153846,-0.0184968209426359,-0.0015158007803765
